,ID,Sentence,disease
1318,405,In Part B eGFR 30-90 ml/min/1.73m\^2 (with no more than 20% having an eGFR \>75 ml/min/1.73m\^2) using CKD-EPI formula at screening visit and at least one historical value of eGFR \<60 mL/min/1.73 m\^2 within 3 months or have a registered diagnostic of CKD.,"{'C, ##K ##D'}"
1319,406,"Symptomatic intracranial arterial stenosis (intracranial segment of internal carotid artery (Petrous segment and above), middle cerebral artery, intracranial segment of vertebral artery, basilar artery, etc.) within 6 months, the degree of stenosis of the diseased artery is between 70% and 99% (WASID method);","{'in ##tra ##c ##rani ##al art ##erial s ##ten ##osis, s ##ten ##osis artery'}"
1320,408,"Histologically confirmed adenocarcinoma of the left colon or rectum (originate in the splenic flexure, descending colon, sigmoid colon, or rectum) in patients with unresectable (not amenable to radical surgery of metastases at the study inclusion) metastatic (M1) disease.","{'ad ##eno ##car ##cin ##oma of the left co ##lon or re, meta'}"
1321,410,Type of Participant and Disease Characteristics,{''}
1322,411,Age between 13-65 years old.,{''}
1323,412,Subject with a Body Mass Index (BMI)\* between 18.5 and 28.0 kg/㎡;,{''}
1324,413,Be willing to adhere to the study intervention through \[18F\]FDG PET/CT or LDCT imaging,{''}
1325,414,Not a woman of childbearing potential (WOCBP),{''}
1326,415,Ability to communicate with investigative staff,{''}
1327,416,Received post-test genetic counseling from MSK Clinical Genetics Service within the last 3 months,{''}
1328,417,The type and dose of drugs used for fibromyalgia should be stable for at least 2 weeks;,"{'fi, ##bro ##my ##al ##gia'}"
1329,418,Obtained written informed consent.,{''}
1330,419,Patient weighing more than 40 kg,{''}
1331,420,"Female or male, aged from 0 to \<20 years (at time of original diagnosis)",{''}
1332,421,"Has relatives in family that contains pancreatic cancer, and carries a known germline mutation in APC, ATM, BRCA1, BRCA2, CDKN2A, EPCAM, MLH1, MSH2, MSH6, PALB2, PMS2, STK11, or TP53.",{'pan ##cre ##atic cancer'}
1333,422,Parents of children under 18 years old,{''}
1334,423,"DSM-5 criteria for opioid use disorder, moderate to severe",{'op ##io ##id use disorder'}
1335,425,A female is considered of childbearing potential unless she is,{''}
1336,426,"Subjects must possess 10-100 total non-inflammatory lesions (open comedones and closed comedones), 10-50 total inflammatory lesions, no cysts, and up to 2 nodules (if deemed appropriate by the PI) on the face.","{'non, inflammatory lesions, c ##ts'}"
1337,427,At least one site of disease 1.5 cm or greater is needed to meet the spatial resolution limits of PET imaging.,{''}
1338,429,Patients attending outpatient clinics in a CS-specialist centre,{'CS'}
1339,431,Patients with HER2-positive breast carcinoma\* (confirmed by a local pathologist).,{'breast car ##cin ##oma'}
1340,432,"Oral cavity, larynx, hypopharynx, or p16-negative oropharynx cancer must be stages T1-2N2-3 or T3N1-3 or T4N0-3 (American Joint Committee on Cancer \[AJCC\] version 8);","{'Oral cavity , la ##ryn ##x , h ##y ##pop ##har ##ynx, or ##op ##har ##ynx cancer'}"
1341,434,Disease Status There are no disease status requirements for enrollment.,{''}
1342,435,Patients with protein energy expenditure (defined by serum albumin \< 3.8 g/dl),{''}
1343,436,"Participants must not have a known diagnosis of obstructive or genetic hypertrophic cardiomyopathy or infiltrative/storage disorder such as cardiac amyloidosis, or any other acute or serious condition that could interfere with assessments during the study or may pose a risk to the participant.","{'o, ##bs ##truct ##ive or genetic h ##yper ##tro ##phic card ##io ##my ##op ##athy, in, ##fi ##lt ##rative / storage disorder, cardiac am ##yl ##oid ##osis'}"
1344,437,All above participants must have completed the written informed consent,{''}
1345,438,Treatment with Diet and Exercise alone at least 90 days prior to day of screening.,{''}
1346,439,Subject is intolerant of positive airway pressure therapy (defined as \<2 hours of sleep time with use per night for at least 5 nights per week as measured objectively by evaluation of continuous positive airway pressure (CPAP) machine memory chip and interpreted by the study sleep medicine specialist),{''}
1347,440,Patients must have consented to surgery with a board-certified Gyn surgeon,{''}
1348,441,All participants must be able to complete the Sonsken logMAR Test (SLT) either verbally or via use of a matching card.,{''}
1349,442,Endometrial cancer,{'End ##ome ##tri ##al cancer'}
1350,443,Diagnosis of MAS according to treating physician in the medical record.,{'MA ##S'}
1351,445,Eastern Cooperative Oncology Group Performance Status of 0 or 1,{''}
1352,446,Participant who had received appropriate prior empiric antibacterial therapy for a carbapenem-resistant pathogen must meet at least 1 of the following criteria no or no more than 24h; worsening of objective symptoms or signs after at least 48 hours of antibacterial therapy; no change of objective symptoms or signs after at least 72 hours of antibacterial therapy.,{''}
1353,449,Have a signed informed consent by participant or surrogate/representative,{''}
1354,450,"-13-year-old male and female students in randomly selected schools with at least 100 students in target classes (year-5 primary, year-1, 2 and 3 secondary)",{''}
1355,452,"Willing to comply with study instructions, agree to make study appointments, and complete the course of the study",{''}
1356,453,Language Proficiency Proficiency in English equivalent to middle school/high school level.,{''}
1357,456,ASA(American Society of Anesthesiologists) ≤ II 4.18kg/m2\<BMI\<30 kg/m2,{''}
1358,457,The subject initiates oral antibiotic treatment in the ambulatory setting.,{''}
1359,458,Presence of a BRAF V600E mutation confirmed as per standard of care according to international guidelines at any time prior to Screening.,{''}
1360,459,Measurement of blood glucose at least 4 times a day,{''}
1361,461,Patient initiating antifungal prophylaxis with micafungin.,{''}
1362,465,BMI greater than 35 to 50 Kg/m2,{''}
1363,466,Patients who are available for the entire trial period and willing to adhere to the protocol requirements,{''}
1364,468,ECOG performance status ≤ 2,{''}
1365,470,Medically fit and willing to undergo resection of disease,{''}
1366,472,Patients with a diagnosis of ALL who are receiving treatment with PEG-asparaginase or inotuzumab ozogamicin with Tbili \> 3 x ULN,{'AL ##L'}
1367,473,English speaker,{''}
1368,474,Participants with TSC associated with renal AML which is eligible for treatment with everolimus per local reimbursement criteria.,"{'T, re ##nal AM ##L'}"
1369,475,Patients whose body weight before operation \> 2 kg;,{''}
1370,476,Patients must have measurable disease at diagnosis per Response Evaluation Criteria In Solid Tumors (RECIST) 1.1,{'Solid Tu ##mor'}
1371,477,Informed consent of parents,{''}
1372,478,Planned elective body reduction surgery to remove excess skin on the abdomen in ≥ 12 to ≤ 18 weeks,{''}
1373,479,Individuals must be ≥ 70 years of age at the time of signing the informed consent form.,{''}
1374,480,At least 1 measurable lesion per Response Evaluation Criteria in solid tumor (RECIST 1.1).,{'solid tumor'}
1375,482,Participants with histologically documented locally advanced or metastatic solid tumor,{''}
1376,483,EDSS score of 6.5 (constant bilateral assistance required to walk about 20 meters without resting) as assessed by a Neurologist with a specialty in MS,{'MS'}
1377,484,"Failed trial of conservative therapy (including bladder training, fluid modification, diet modification, caffeine restriction, or pelvic floor training) -Failed trial of at least one pharmacologic treatment (anticholinergics, β3- adrenoceptor agonist) either due to inability to take the medication, adverse reaction to medication, or no improvement on medication",{''}
1378,485,With an information leaflet and non-opposition form signed by one or both parent(s) or by the legal representative.,{''}
1379,486,"Being between the ages of 18-22,",{''}
1380,489,Stated willingness to comply with all study procedures and availability for the duration of the study;,{''}
1381,490,Signs of histological activity of the NTI objectified during the centralized rereading and defined by,{'N'}
1382,491,Indirect hyperbilirubinemia with TSB levels between 14-20 mg/dL,"{'##dir, h ##yper ##bil ##ir ##ubi ##ne ##mia'}"
1383,492,both partners should have their own mobile devices with access to the internet,{''}
1384,493,Participant fluency in primary language of country in which study is being conducted.,{''}
1385,495,Runs independently,{''}
1386,498,self-identified history of violent victimization,{''}
1387,499,Eastern Cooperative Oncology Group (ECOG) performance status of 0-1.,{''}
1388,500,"Moderately to severely active UC, defined as a baseline modified Mayo score of 5 to 9, inclusive, using the Mayo endoscopic subscore assigned during the concurrent local and central reading of the video endoscopy.",{'UC'}
1389,503,body mass index range 25.0 to 40 kg/m2,{''}
1390,504,Moderate or higher depression confirmed by DIAMOND interview,{''}
1391,505,In regular follow-up in either of the two study centres,{''}
1392,506,Presence of a dental/skeletal malocclusion,{'dental / skeletal ma ##loc ##c ##lusion'}
1393,507,Ability of normal oral ingestion,{''}
1394,510,Patients receiving curative or adjuvant pelvic radiation including,{''}
1395,511,Aged 19-42 years;,{''}
1396,512,"Community dwelling, assisted living conditions or care home residents.",{''}
1397,513,Manifest Refraction - Spherical Equivalent Refractive Error (SERE) at baseline between -0.75 D and -4.00 D inclusive (at the corneal plane) in each eye,{''}
1398,515,"Must, at the time of randomization, be newly initiated on BUP (i.e., within 7 to 28 days) during the current treatment episode, be taking ≥ the recommended target dose for transmucosal BUP57 (or equivalent for extended-release), and have documentation of receiving BUP, including dose and the start date of the current treatment episode, from their BUP provider;",{''}
1399,516,"Those who have listened to a detailed explanation of the clinical trial, fully understand it, voluntarily decide to participate, and provide written consent to comply with precautions.",{''}
1400,517,not taking medication for FM for at least 4 weeks;,{'FM'}
1401,518,years ≤ age ≤ 65 years.,{''}
1402,519,Stable dosing of medications (if taking) for pain and sleep;,{''}
1403,523,Individuals who have ovarian cancer or breast cancer who are recommended to start olaparib,"{'o ##var ##ian cancer, breast cancer'}"
1404,524,Signature of informed consent by the patient or his legal representative,{''}
1405,525,"Decrease in kidney function GFR (or eGFR) less than 60 mL/min, or investigator's decision",{''}
1406,526,Willing to sleep with a weighted blanket for up to 3 months,{''}
1407,527,ability to commit to study visits.,{''}
1408,528,Relapsed/refractory CLL eligible to receive single-agent VEN or VEN in combination with rituximab at Screening.,{'C ##LL'}
1409,529,Members of the tribal communities that participate in the Strong Heart Study in southwestern Oklahoma,{'Strong Heart'}
1410,530,T-NHL PATIENTS,{'T - NHL'}
1411,531,Subjects with severe visual disturbance (count-fingers or worse vision for severe eyes) at the time of obtaining the consent,"{'visual disturbance, count - fingers or, worse vision eyes'}"
